Curvature,Luas,Kepadatan,Bin Tertinggi,Posisi Bin Tertinggi,Label
3.721225,891.059753,0.046092,21.677544,96.000000,Flat
4.748743,896.049377,0.028063,21.837618,66.000000,Flat
4.455641,918.869080,0.028938,22.207003,123.000000,Flat
3.871557,843.619751,0.033717,21.234856,87.000000,Flat
3.494111,880.612915,0.043933,20.937677,96.000000,Flat
4.108723,891.567566,0.032627,21.453362,96.000000,Flat
4.468846,888.994995,0.031564,21.116119,66.000000,Flat
4.109807,915.022156,0.035824,22.145298,66.000000,Flat
5.327667,838.278076,0.019350,21.617746,84.000000,Flat
3.026010,840.756714,0.053822,21.231766,69.000000,Flat
3.460431,873.526611,0.039867,21.253063,108.000000,Flat
3.670208,930.367249,0.043611,22.193844,123.000000,Flat
3.670208,930.367249,0.043611,22.193844,123.000000,Flat
3.853400,889.675049,0.041697,21.664957,87.000000,Flat
2.642223,924.471069,0.067784,21.339455,96.000000,Flat
5.012167,890.627563,0.024966,23.287033,87.000000,Flat
4.894907,920.142700,0.028536,22.646540,111.000000,Flat
4.602530,844.655334,0.022085,23.155634,111.000000,Flat
4.480484,906.388428,0.035517,21.483982,66.000000,Flat
3.972832,914.022095,0.042952,21.549603,87.000000,Flat
4.744910,900.450562,0.029659,21.091440,108.000000,Flat
3.925847,865.494324,0.033343,21.986965,87.000000,Flat
3.953549,875.248657,0.037535,20.481447,87.000000,Flat
3.596148,872.265991,0.047996,22.609617,87.000000,Flat
3.575157,897.526855,0.053355,21.454931,72.000000,Flat
3.891153,837.257141,0.036016,19.915827,27.000000,Flat
3.441125,939.665283,0.046037,22.957457,90.000000,Flat
4.470866,919.427002,0.031509,21.650740,60.000000,Flat
4.581730,861.331177,0.031091,21.294201,87.000000,Flat
4.404398,879.607422,0.031923,21.892614,90.000000,Flat
3.579279,855.931091,0.041779,21.433304,87.000000,Flat
4.202661,905.057190,0.032402,21.197332,111.000000,Flat
4.144868,876.206177,0.038293,20.581303,87.000000,Flat
3.779526,877.112122,0.043682,21.168139,111.000000,Flat
3.609504,942.032898,0.051980,22.024723,69.000000,Flat
4.330196,858.687988,0.028367,22.131382,114.000000,Flat
4.634214,845.785156,0.022581,22.382069,111.000000,Flat
3.924524,899.726685,0.034909,21.724318,36.000000,Flat
4.265691,847.922302,0.028735,21.119637,96.000000,Flat
3.665930,867.102478,0.036092,21.151430,90.000000,Flat
4.315810,896.641113,0.036466,21.230831,108.000000,Flat
4.386354,756.263428,0.025821,21.068283,54.000000,Flat
4.423892,765.097778,0.026251,21.506485,30.000000,Flat
4.320305,771.529480,0.026221,21.400251,30.000000,Flat
4.161922,775.389099,0.027200,21.798372,30.000000,Flat
4.394428,771.838074,0.025656,21.305965,30.000000,Flat
5.284997,775.388672,0.022463,22.636438,30.000000,Flat
