Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48,Bin 49,Bin 50,Bin 51,Bin 52,Bin 53,Bin 54,Bin 55,Bin 56,Bin 57,Bin 58,Bin 59,Bin 60,Label
0.151580,16.991879,17.938313,8.949574,10.536944,7.709969,5.818689,2.429499,3.496441,11.556458,20.967430,14.157351,15.168028,11.395306,9.687810,9.405512,8.845367,8.760431,20.500534,13.243506,16.677418,19.579723,15.212879,8.405652,9.716559,10.387516,16.319160,15.712645,17.168270,19.660898,17.054619,16.924799,16.432774,13.843773,12.020786,17.592224,15.511297,18.918926,18.766411,15.780545,15.747766,14.928202,12.440460,13.441772,15.416380,12.577226,12.740351,13.068239,9.270351,7.981346,13.554321,9.850072,12.568078,10.884012,13.815047,10.904351,9.203900,9.668793,9.469708,9.622437,Flat
0.155093,16.429459,17.372229,9.350603,10.397011,7.695260,5.550266,1.414213,4.325019,12.874341,20.263485,13.562716,14.703611,11.303860,9.697908,9.631568,8.839650,8.776608,20.592421,12.833275,16.486977,19.428652,16.194660,8.221585,10.023848,11.086170,16.387070,15.799280,16.843603,19.861588,17.996185,17.262592,17.248806,13.972996,12.092083,17.295393,15.608826,18.827633,18.451265,15.426823,15.450453,14.317255,11.491171,13.707502,15.191614,13.111778,13.129416,13.548631,10.018916,8.135402,13.417477,9.761402,12.710341,10.998456,14.260996,11.529850,10.163892,10.092119,9.272107,9.968510,Flat
7.044381,17.788687,15.391108,10.716043,10.001213,6.754322,2.723013,0.000000,2.645863,18.579109,18.613461,15.085730,17.289608,10.006192,9.155573,9.454171,6.471707,13.441678,19.783220,14.506412,20.919544,21.349117,14.277791,10.437588,11.123719,12.310122,15.676733,15.873713,20.843624,19.374350,20.606682,20.297291,19.956295,11.403063,11.585915,14.979730,16.539194,20.134220,20.407946,18.921860,19.388861,20.274673,13.538889,12.790655,15.292456,15.462868,16.355709,11.407380,10.925463,15.229815,16.771128,13.710458,13.644636,10.829899,14.561745,11.055193,11.448202,10.641338,10.694054,13.628419,Flat
0.164007,17.049026,17.801767,9.003881,10.406217,7.430886,5.622542,0.000000,3.232950,13.067811,21.201942,13.604164,14.644860,11.091174,9.809879,9.438971,8.883973,8.494432,20.737968,13.476271,16.718136,19.163677,15.142832,7.826516,10.036206,11.050850,16.008907,15.505440,17.833473,19.716846,16.946665,17.105198,17.223783,13.468893,12.006508,17.600784,15.768147,19.203516,17.927757,15.558113,15.950184,14.781989,11.359185,14.415826,15.041780,12.857773,12.527666,13.145746,9.383027,8.326240,13.333919,10.088801,12.958924,10.541491,14.137457,11.285107,9.536687,9.865825,9.493603,9.704491,Flat
0.000000,10.080153,19.660662,10.296001,10.325424,8.069311,8.983869,4.513759,0.106259,11.052102,21.996023,13.340744,18.077000,12.148594,8.926985,9.999660,9.807622,8.704345,21.533882,13.936191,18.442034,18.890217,17.009741,14.049645,11.373274,10.661544,17.045324,18.041716,19.665817,20.151554,17.889523,16.876968,18.209641,16.590584,12.563350,17.735355,17.380808,17.380871,19.961901,16.855110,15.789167,15.054352,11.622855,13.887511,15.548491,9.541430,13.097135,13.752140,10.637791,10.289739,13.682616,8.073460,13.510796,13.573368,11.128006,10.293085,9.953841,10.238480,6.914118,6.466086,Flat
0.004804,10.574879,19.067871,10.925335,10.529091,8.177046,9.046673,4.859242,3.576980,11.730744,22.746101,13.249254,18.186268,12.928734,8.696881,10.205538,10.522608,9.007545,22.273045,14.758089,18.888670,18.821171,17.746561,15.060099,11.909026,11.126541,18.251272,18.484596,19.699236,20.184793,18.149761,17.585386,19.009422,16.219479,13.062200,18.533791,17.180546,16.913843,17.893623,14.854670,16.074022,15.290288,11.715170,13.555630,15.259867,9.763324,13.180519,14.427434,11.465961,10.756891,14.606528,8.100269,13.276541,14.321424,11.464947,10.279659,10.358096,10.444095,7.154875,6.767896,Flat
0.000000,10.104383,19.493702,9.917707,10.669929,8.025386,8.963899,4.781130,3.299816,10.943869,22.246832,13.234079,18.419159,12.363252,8.733639,10.264114,10.093608,8.520805,21.403471,14.454813,18.592272,18.767168,18.357666,15.631375,12.146989,11.057423,17.925247,18.121243,19.623865,20.267023,18.304020,17.750612,18.598713,16.401154,13.010790,18.416664,17.742031,17.151440,19.745956,16.899792,15.940577,15.235837,11.488155,13.880894,15.885327,9.760821,12.806191,13.404663,10.642656,10.557591,14.657589,8.223234,13.559225,14.028118,10.791338,10.105200,9.854851,10.175806,7.577253,6.108405,Flat
0.000000,10.202069,19.169718,10.154097,10.594184,7.829020,8.724374,4.306548,0.000000,9.659564,22.289705,12.562482,16.514029,11.960452,9.027126,9.786432,9.908860,8.628767,22.201380,14.304000,16.764133,19.239836,17.926231,13.563406,11.375752,11.167362,18.108410,17.826191,19.737823,20.584831,17.809502,17.031052,17.819920,15.914217,12.657943,17.891916,17.298176,17.501141,20.248228,16.420906,15.426035,14.717247,11.547302,13.882057,15.476504,10.219419,13.419795,14.034921,10.105582,10.656235,15.270149,8.129830,13.051214,13.748302,11.649787,10.359152,9.197405,10.218575,7.703181,6.315224,Flat
0.000000,10.157188,19.270147,9.966851,10.447502,7.998513,8.717930,4.694931,0.000000,10.915052,22.373623,13.093194,18.298717,12.352753,8.780166,9.775144,10.442520,8.542686,21.633654,14.050651,17.065741,18.435555,17.379677,13.855334,11.630171,11.292926,17.401865,18.175188,18.473450,19.849949,18.064510,16.136787,17.958691,16.637344,12.958704,18.078165,17.546291,16.725012,19.433416,15.960983,15.222641,15.299850,11.675173,13.187922,15.889676,9.387922,12.685453,14.890049,9.947927,10.119979,14.181992,7.754349,13.403417,13.461739,10.304672,10.535385,9.578952,9.937962,7.481973,6.140596,Flat
0.000000,10.080153,19.660662,10.296001,10.325424,8.069311,8.983869,4.513759,0.106259,11.052102,21.996023,13.340744,18.077000,12.148594,8.926985,9.999660,9.807622,8.704345,21.533882,13.936191,18.442034,18.890217,17.009741,14.049645,11.373274,10.661544,17.045324,18.041716,19.665817,20.151554,17.889523,16.876968,18.209641,16.590584,12.563350,17.735355,17.380808,17.380871,19.961901,16.855110,15.789167,15.054352,11.622855,13.887511,15.548491,9.541430,13.097135,13.752140,10.637791,10.289739,13.682616,8.073460,13.510796,13.573368,11.128006,10.293085,9.953841,10.238480,6.914118,6.466086,Flat
